,,,,,,"B-16 MARGINAL WORKERS AND NON WORKERS SEEKING/ AVAILABLE FOR WORK CLASSIFIED BY EDUCATIONAL LEVEL, AGE AND SEX - 2011",,,,,,,,,,,,,,,,,,,,,,,,
Table,State,District,Area,Total/,Marginal,Educational ,Total,,,Age-Group,,,,,,,,,,,,,,,,,,,,
Name,Code,Code,Name,Rural/,and,level,,,,5-14,,,15-19,,,20-24,,,25-29,,,30-34,,,35+,,,Age not stated,,
,,,,Urban,Non-workers,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females
,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0616,29,000,State - KARNATAKA,Total,Marginal workers seeking / available for work,Total,1104284.0,603015.0,501269.0,31870.0,16612.0,15258.0,146335.0,87306.0,59029.0,229260.0,140208.0,89052.0,191188.0,108733.0,82455.0,125454.0,66463.0,58991.0,379613.0,183367.0,196246.0,564.0,326.0,238.0
B0616,29,000,State - KARNATAKA,Total,Marginal workers seeking / available for work,Illiterate,353562.0,124189.0,229373.0,8001.0,3597.0,4404.0,19691.0,8560.0,11131.0,32829.0,12466.0,20363.0,43426.0,14448.0,28978.0,41315.0,13388.0,27927.0,208189.0,71696.0,136493.0,111.0,34.0,77.0
B0616,29,000,State - KARNATAKA,Total,Marginal workers seeking / available for work,Literate,750722.0,478826.0,271896.0,23869.0,13015.0,10854.0,126644.0,78746.0,47898.0,196431.0,127742.0,68689.0,147762.0,94285.0,53477.0,84139.0,53075.0,31064.0,171424.0,111671.0,59753.0,453.0,292.0,161.0
B0616,29,000,State - KARNATAKA,Total,Marginal workers seeking / available for work,Literate but below matric/secondary,341481.0,204363.0,137118.0,22774.0,12360.0,10414.0,62500.0,39465.0,23035.0,70564.0,44431.0,26133.0,58383.0,33663.0,24720.0,36530.0,20249.0,16281.0,90598.0,54114.0,36484.0,132.0,81.0,51.0
B0616,29,000,State - KARNATAKA,Total,Marginal workers seeking / available for work,Matric/secondary but below graduate,244597.0,164478.0,80119.0,0.0,0.0,0.0,52975.0,31687.0,21288.0,76151.0,50519.0,25632.0,47322.0,32341.0,14981.0,26151.0,18359.0,7792.0,41899.0,31503.0,10396.0,99.0,69.0,30.0
